taxon_id,sci,en_inat,en_birdnet,ja,family,order,obs_count,last_observed,status,group,birdproject,data_source,notes,xc_sci,model_label
6930.0,Anas platyrhynchos,Mallard,Mallard,マガモ,Anatidae,Anseriformes,195.0,2026-06-05,target,duck,True,xeno-canto,,,Anas platyrhynchos_Mallard
6937.0,Anas crecca,Eurasian Teal,Common Teal,コガモ,Anatidae,Anseriformes,86.0,2026-06-05,target,duck,True,xeno-canto,"BirdProjectでは""Common Teal""として収録",,Anas crecca_Common Teal
6933.0,Anas acuta,Northern Pintail,Northern Pintail,オナガガモ,Anatidae,Anseriformes,60.0,2026-06-05,target,duck,True,xeno-canto,,,Anas acuta_Northern Pintail
558438.0,Spatula clypeata,Northern Shoveler,Northern Shoveler,ハシビロガモ,Anatidae,Anseriformes,28.0,2026-06-05,target,duck,True,xeno-canto,,,Spatula clypeata_Northern Shoveler
558441.0,Mareca penelope,Eurasian Wigeon,Eurasian Wigeon,ヒドリガモ,Anatidae,Anseriformes,178.0,2026-06-05,target,duck,True,xeno-canto,,,Mareca penelope_Eurasian Wigeon
7046.0,Aythya fuligula,Tufted Duck,Tufted Duck,キンクロハジロ,Anatidae,Anseriformes,36.0,2026-06-05,target,duck,True,xeno-canto,,,Aythya fuligula_Tufted Duck
7045.0,Aythya ferina,Common Pochard,Common Pochard,ホシハジロ,Anatidae,Anseriformes,88.0,2026-06-05,target,duck,True,xeno-canto,,,Aythya ferina_Common Pochard
6990.0,Bucephala clangula,Common Goldeneye,Common Goldeneye,ホオジロガモ,Anatidae,Anseriformes,6.0,2026-06-05,target,duck,False,xeno-canto,BirdProject未収録。BirdNET v2.4デフォルト経由,,Bucephala clangula_Common Goldeneye
72504.0,Anas zonorhyncha,Eastern Spot-billed Duck,Eastern Spot-billed Duck,カルガモ,Anatidae,Anseriformes,131.0,2026-06-05,ood_tier1,duck,True,xeno-canto,run15でotherへ差戻し(Mallardと分離困難・表現力の壁),,Anas zonorhyncha_Eastern Spot-billed Duck
558439.0,Mareca strepera,Gadwall,Gadwall,オカヨシガモ,Anatidae,Anseriformes,20.0,2026-06-05,target,duck,True,xeno-canto,run13で target 昇格,,Mareca strepera_Gadwall
558428.0,Sibirionetta formosa,Baikal Teal,Baikal Teal,トモエガモ,Anatidae,Anseriformes,18.0,2026-06-05,ood_tier1,duck,True,xeno-canto,コガモと音響近縁,,Sibirionetta formosa_Baikal Teal
558440.0,Mareca falcata,Falcated Duck,Falcated Duck,ヨシガモ,Anatidae,Anseriformes,23.0,2026-06-05,ood_tier1,duck,True,xeno-canto,ヒドリガモと同Mareca属,,Mareca falcata_Falcated Duck
6996.0,Mergus serrator,Red-breasted Merganser,Red-breasted Merganser,ウミアイサ,Anatidae,Anseriformes,17.0,2026-06-05,target,duck,True,xeno-canto,run13で target 昇格,,Mergus serrator_Red-breasted Merganser
7004.0,Mergus merganser,Common Merganser,Common Merganser,カワアイサ,Anatidae,Anseriformes,2.0,2026-06-05,ood_tier1,duck,False,xeno-canto,run15でotherへ差戻し(録音不足8本),,Mergus merganser_Common Merganser
7047.0,Aythya marila,Greater Scaup,Greater Scaup,スズガモ,Anatidae,Anseriformes,11.0,2026-06-05,ood_tier1,duck,False,xeno-canto,キンクロハジロと同Aythya属,,
482.0,Fulica atra,Eurasian Coot,Eurasian Coot,オオバン,Rallidae,Gruiformes,130.0,2026-06-05,ood_tier2,duck,True,xeno-canto,,,Fulica atra_Eurasian Coot
4237.0,Tachybaptus ruficollis,Little Grebe,Little Grebe,カイツブリ,Podicipedidae,Podicipediformes,61.0,2026-06-05,ood_tier2,duck,True,xeno-canto,,,Tachybaptus ruficollis_Little Grebe
4205.0,Podiceps nigricollis,Black-necked Grebe,Black-necked Grebe,ハジロカイツブリ,Podicipedidae,Podicipediformes,7.0,2026-06-05,ood_tier2,duck,False,xeno-canto,,,Podiceps nigricollis_Black-necked Grebe
13141.0,Monticola solitarius,Blue Rock Thrush,Blue Rock Thrush,イソヒヨドリ,Muscicapidae,Passeriformes,139.0,2026-06-05,ood_tier3,duck,True,xeno-canto,,,Monticola solitarius_Blue Rock Thrush
116999.0,Pandion haliaetus,Osprey,Osprey,ミサゴ,Pandionidae,Accipitriformes,118.0,2026-06-05,ood_tier3,duck,True,xeno-canto,,,Pandion haliaetus_Osprey
4370.0,Larus crassirostris,Black-tailed Gull,Black-tailed Gull,ウミネコ,Laridae,Charadriiformes,70.0,2026-06-05,ood_tier3,duck,True,xeno-canto,,,Larus crassirostris_Black-tailed Gull
5268.0,Milvus migrans,Black Kite,Black Kite,トビ,Accipitridae,Accipitriformes,390.0,2026-06-05,ood_tier3,duck,True,xeno-canto,,,Milvus migrans_Black Kite
1580336,Thinornis dubius,Little Ringed Plover,Little Ringed Plover,コチドリ,Charadriidae,Charadriiformes,,,ood_tier3,duck,False,xeno-canto,genus正規化(iNat現行),,Thinornis dubius_Little Ringed Plover
1505620,Anarhynchus alexandrinus,Kentish Plover,Kentish Plover,シロチドリ,Charadriidae,Charadriiformes,,,ood_tier3,duck,True,xeno-canto,genus正規化(iNat現行),,Anarhynchus alexandrinus_Kentish Plover
4892.0,Pluvialis squatarola,Grey Plover,Grey Plover,ダイゼン,Charadriidae,Charadriiformes,30.0,2026-06-05,ood_tier3,duck,True,xeno-canto,,,Pluvialis squatarola_Grey Plover
3898.0,Numenius madagascariensis,Far Eastern Curlew,Far Eastern Curlew,ダイシャクシギ,Scolopacidae,Charadriiformes,21.0,2026-06-05,ood_tier3,duck,True,xeno-canto,,,Numenius madagascariensis_Far Eastern Curlew
3896.0,Numenius arquata,Eurasian Curlew,Eurasian Curlew,ホウロクシギ,Scolopacidae,Charadriiformes,23.0,2026-06-05,ood_tier3,duck,True,xeno-canto,,,Numenius arquata_Eurasian Curlew
3901.0,Numenius phaeopus,Eurasian Whimbrel,Eurasian Whimbrel,チュウシャクシギ,Scolopacidae,Charadriiformes,17.0,2026-06-05,ood_tier3,duck,True,xeno-canto,,,Numenius phaeopus_Eurasian Whimbrel
8026.0,Corvus macrorhynchos,Large-billed Crow,Large-billed Crow,ハシブトガラス,Corvidae,Passeriformes,132.0,2026-06-05,target,crow,True,xeno-canto,,,Corvus macrorhynchos_Large-billed Crow
204496.0,Corvus corone,Carrion Crow,Carrion Crow,ハシボソガラス,Corvidae,Passeriformes,100.0,2026-06-05,target,crow,True,xeno-canto,,,Corvus corone_Carrion Crow
8029.0,Corvus frugilegus,Rook,Rook,ミヤマガラス,Corvidae,Passeriformes,55.0,2026-06-05,target,crow,True,xeno-canto,BirdNETが日本のカラスをこのラベルで誤出力することが多い,,Corvus frugilegus_Rook
827401.0,Pica serica,Oriental Magpie,Eurasian Magpie,カササギ,Corvidae,Passeriformes,54.0,2026-06-05,target,crow,True,xeno-canto,北部九州限定分布。日本録音不足時はYouTubeで補完,,Pica serica_Eurasian Magpie
1578721.0,Coloeus dauuricus,Daurian Jackdaw,Daurian Jackdaw,コクマルガラス,Corvidae,Passeriformes,24.0,2026-06-05,ood_tier1,crow,True,xeno-canto,ミヤマガラスと混群を作る小型カラス,,Coloeus dauuricus_Daurian Jackdaw
8088.0,Garrulus glandarius,Eurasian Jay,Eurasian Jay,カケス,Corvidae,Passeriformes,6.0,2026-06-05,ood_tier2,crow,True,xeno-canto,,,Garrulus glandarius_Eurasian Jay
72785,Cyanopica cyanus,Azure-winged Magpie,Azure-winged Magpie,オナガ,Corvidae,Passeriformes,,,ood_tier2,crow,True,xeno-canto,,,Cyanopica cyanus_Azure-winged Magpie
4954.0,Ardea cinerea,Grey Heron,Grey Heron,,,,429.0,2026-06-05,candidate,,,xeno-canto,,,Ardea cinerea_Grey Heron
13851.0,Passer montanus,Eurasian Tree Sparrow,Eurasian Tree Sparrow,,,,184.0,2026-06-05,candidate,,,xeno-canto,,,Passer montanus_Eurasian Tree Sparrow
4270.0,Phalacrocorax carbo,Great Cormorant,Great Cormorant,,,,183.0,2026-06-05,candidate,,,xeno-canto,,,Phalacrocorax carbo_Great Cormorant
13695.0,Motacilla alba,White Wagtail,White Wagtail,,,,158.0,2026-06-05,candidate,,,xeno-canto,,,Motacilla alba_White Wagtail
144455.0,Ardea alba,Great Egret,Great Egret,,,,143.0,2026-06-05,candidate,,,xeno-canto,,,Ardea alba_Great Egret
144910.0,Hypsipetes amaurotis,Brown-eared Bulbul,Brown-eared Bulbul,,,,137.0,2026-06-05,candidate,,,xeno-canto,,,Hypsipetes amaurotis_Brown-eared Bulbul
26.0,Grus monacha,Hooded Crane,Hooded Crane,,,,136.0,2026-06-05,candidate,,,xeno-canto,,,Grus monacha_Hooded Crane
547179.0,Spodiopsar cineraceus,White-cheeked Starling,White-cheeked Starling,,,,134.0,2026-06-05,candidate,,,xeno-canto,,,Spodiopsar cineraceus_White-cheeked Starling
11901.0,Hirundo rustica,Barn Swallow,Barn Swallow,,,,131.0,2026-06-05,candidate,,,xeno-canto,,,Hirundo rustica_Barn Swallow
12993.0,Phoenicurus auroreus,Daurian Redstart,Daurian Redstart,,,,130.0,2026-06-05,candidate,,,xeno-canto,,,Phoenicurus auroreus_Daurian Redstart
3017.0,Columba livia,Rock Pigeon,Rock Pigeon,,,,115.0,2026-06-05,candidate,,,xeno-canto,,,Columba livia_Rock Pigeon
4943.0,Egretta garzetta,Little Egret,Little Egret,,,,115.0,2026-06-05,candidate,,,xeno-canto,,,Egretta garzetta_Little Egret
508057.0,Antigone vipio,White-naped Crane,White-naped Crane,,,,112.0,2026-06-05,candidate,,,xeno-canto,,,Antigone vipio_White-naped Crane
145361.0,Chloris sinica,Oriental Greenfinch,Oriental Greenfinch,,,,107.0,2026-06-05,candidate,,,xeno-canto,,,Chloris sinica_Oriental Greenfinch
144510.0,Chroicocephalus ridibundus,Black-headed Gull,Black-headed Gull,,,,103.0,2026-06-05,candidate,,,xeno-canto,,,Chroicocephalus ridibundus_Black-headed Gull
980262.0,Zosterops japonicus,Warbling White-eye,Warbling White-eye,,,,101.0,2026-06-05,candidate,,,xeno-canto,,,Zosterops japonicus_Warbling White-eye
12779.0,Turdus pallidus,Pale Thrush,Pale Thrush,,,,91.0,2026-06-05,candidate,,,xeno-canto,,,Turdus pallidus_Pale Thrush
9216.0,Emberiza cioides,Meadow Bunting,Meadow Bunting,,,,89.0,2026-06-05,candidate,,,xeno-canto,,,Emberiza cioides_Meadow Bunting
339691.0,Parus cinereus,Asian Tit,Asian Tit,,,,87.0,2026-06-05,candidate,,,xeno-canto,,,Parus cinereus_Asian Tit
