species,xc_id,chunk_index,file_path,duration_sec,source_file
Common_Goldeneye,bucephala_clangula_Tarchomin_Vistula_River_Warsaw_Poland_Jarek_Matusiak_20100110,0,data\processed\Common_Goldeneye\bucephala_clangula_Tarchomin_Vistula_River_Warsaw_Poland_Jarek_Matusiak_20100110_chunk000.wav,10.0,bucephala_clangula_Tarchomin_Vistula_River_Warsaw_Poland_Jarek_Matusiak_20100110.mp3
Common_Goldeneye,bucephala_clangula_Tarchomin_Vistula_River_Warsaw_Poland_Jarek_Matusiak_20100110,1,data\processed\Common_Goldeneye\bucephala_clangula_Tarchomin_Vistula_River_Warsaw_Poland_Jarek_Matusiak_20100110_chunk001.wav,10.0,bucephala_clangula_Tarchomin_Vistula_River_Warsaw_Poland_Jarek_Matusiak_20100110.mp3
Common_Goldeneye,Common,0,data\processed\Common_Goldeneye\Common_chunk000.wav,10.0,Common Goldeneye2012-6-7-1.mp3
Common_Goldeneye,Common,1,data\processed\Common_Goldeneye\Common_chunk001.wav,10.0,Common Goldeneye2012-6-7-1.mp3
Common_Goldeneye,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,",0,"data\processed\Common_Goldeneye\XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,_chunk000.wav",10.0,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,.wav"
Common_Goldeneye,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,",1,"data\processed\Common_Goldeneye\XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,_chunk001.wav",10.0,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,.wav"
Common_Goldeneye,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,",2,"data\processed\Common_Goldeneye\XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,_chunk002.wav",10.0,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,.wav"
Common_Goldeneye,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,",3,"data\processed\Common_Goldeneye\XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,_chunk003.wav",10.0,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,.wav"
Common_Goldeneye,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,",4,"data\processed\Common_Goldeneye\XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,_chunk004.wav",10.0,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,.wav"
Common_Goldeneye,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,",5,"data\processed\Common_Goldeneye\XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,_chunk005.wav",10.0,"XC1102323-260221--0707--Common-Goldeneye-Vernon-River-Bridge,-amcr,bcch,cora,.wav"
